20260720T,0.00,0.00,0.00,0.00,0.00
20260721T,0.00,0.00,0.00,0.00,0.00
20260722T,0.00,0.00,0.00,0.00,0.00
20260723T,0.00,0.00,0.00,0.00,0.00
20260724T,0.00,0.00,0.00,0.00,0.00
20260726T,0.00,0.00,0.00,0.00,0.00
20260727T,0.00,0.00,0.00,0.00,0.00
20260728T,0.00,0.00,0.00,0.00,0.00
20260729T,0.00,0.00,0.00,0.00,0.00
20260730T,0.00,0.00,0.00,0.00,0.00
20260731T,0.00,0.00,0.00,0.00,0.00
20260803T,0.00,0.00,0.00,0.00,0.00
20260804T,0.00,0.00,0.00,0.00,0.00
20260805T,0.00,0.00,0.00,0.00,0.00
20260806T,0.00,0.00,0.00,0.00,0.00
20260807T,0.00,0.00,0.00,0.00,0.00
20260810T,0.00,0.00,0.00,0.00,0.00
20260811T,0.00,0.00,0.00,0.00,0.00
20260812T,0.00,0.00,0.00,0.00,0.00
20260813T,0.00,0.00,0.00,0.00,0.00
20260814T,0.00,0.00,0.00,0.00,0.00
20260817T,0.00,0.00,0.00,0.00,0.00
20260818T,0.00,0.00,0.00,0.00,0.00
20260819T,0.00,0.00,0.00,0.00,0.00
20260820T,0.00,0.00,0.00,0.00,0.00
20260821T,0.00,0.00,0.00,0.00,0.00
