20260724T,720.00,725.00,737.00,755.00,710.00
20260726T,755.00,710.00,760.00,743.00,715.00
20260727T,725.00,720.00,741.00,743.00,755.00
20260728T,735.00,743.00,725.00,720.00,755.00
20260729T,728.00,710.00,745.00,733.00,729.00
20260730T,744.00,741.00,725.00,720.00,755.00
20260731T,730.00,735.00,755.00,744.00,760.00
20260803T,740.00,756.00,735.00,770.00,765.00
20260804T,780.00,800.00,730.00,740.00,758.00
20260805T,785.00,773.00,780.00,769.00,768.00
20260806T,772.00,767.00,771.00,785.00,780.00
20260807T,785.00,750.00,780.00,771.00,765.00
20260810T,785.00,750.00,771.00,765.00,788.00
20260811T,765.00,750.00,785.00,774.00,755.00
20260812T,760.00,765.00,785.00,750.00,800.00
20260813T,773.00,774.00,760.00,800.00,779.00
20260814T,778.00,773.00,760.00,785.00,800.00
20260817T,774.00,776.00,777.00,785.00,750.00
20260818T,780.00,773.00,755.00,769.00,766.00
20260819T,772.00,750.00,773.00,780.00,767.00
20260820T,766.00,761.00,775.00,768.00,764.00
20260821T,755.00,767.00,775.00,763.00,780.00
20260824T,755.00,766.00,767.00,775.00,740.00
20260825T,755.00,763.00,768.00,775.00,780.00
20260826T,750.00,764.00,775.00,769.00,763.00
20260827T,768.00,755.00,766.00,750.00,769.00
20260828T,771.00,775.00,772.00,767.00,750.00
20260831T,750.00,769.00,775.00,772.00,755.00
20260901T,750.00,755.00,775.00,768.00,762.00
