20260716T,709.00,730.00,685.00,675.00,740.00
20260717T,685.00,705.00,710.00,730.00,660.00
20260719T,660.00,685.00,720.00,675.00,670.00
20260720T,710.00,685.00,705.00,720.00,730.00
20260721T,730.00,680.00,715.00,708.00,660.00
20260722T,695.00,680.00,709.00,730.00,720.00
20260723T,705.00,710.00,660.00,696.00,730.00
20260724T,660.00,670.00,705.00,650.00,710.00
20260726T,685.00,705.00,650.00,710.00,675.00
20260727T,670.00,650.00,683.00,675.00,705.00
20260728T,650.00,685.00,695.00,677.00,665.00
20260729T,645.00,662.00,675.00,655.00,661.00
20260730T,675.00,692.00,705.00,684.00,710.00
20260731T,660.00,695.00,710.00,705.00,689.00
20260803T,701.00,660.00,720.00,695.00,670.00
20260804T,725.00,740.00,715.00,680.00,735.00
20260805T,716.00,730.00,725.00,735.00,690.00
20260806T,705.00,725.00,735.00,690.00,680.00
20260807T,710.00,735.00,705.00,740.00,724.00
20260810T,705.00,715.00,725.00,722.00,740.00
20260811T,715.00,735.00,725.00,740.00,690.00
20260812T,710.00,722.00,740.00,705.00,715.00
20260813T,720.00,750.00,710.00,745.00,705.00
20260814T,720.00,725.00,710.00,750.00,745.00
20260817T,725.00,710.00,750.00,731.00,705.00
20260818T,725.00,715.00,735.00,750.00,740.00
20260819T,730.00,705.00,725.00,735.00,750.00
20260820T,718.00,680.00,717.00,690.00,725.00
20260821T,614.00,615.00,616.00,617.00,618.00
