20260724T,739.00,738.00,739.04,738.02,20260724.00
20260726T,0.00,0.00,743.39,734.47,20260726.00
20260727T,739.00,739.00,739.08,738.16,20260727.00
20260728T,740.00,741.00,740.85,739.13,20260728.00
20260729T,728.00,728.00,735.06,728.55,20260729.00
20260730T,745.00,742.00,744.42,741.58,20260730.00
20260731T,747.00,745.00,746.28,742.82,20260731.00
20260803T,758.00,745.00,759.05,757.35,20260803.00
20260804T,773.00,755.00,774.91,771.11,20260804.00
20260805T,771.00,771.00,771.89,770.91,20260805.00
20260806T,769.00,769.00,769.28,768.44,20260806.00
20260807T,773.00,773.00,773.22,772.66,20260807.00
