20260724T,750.46,739.00,740.00,734.74,20260724.00
20260726T,750.94,750.00,740.00,0.00,20260726.00
20260727T,750.82,739.00,740.00,746.60,20260727.00
20260728T,750.43,740.00,740.00,731.37,20260728.00
20260729T,751.41,750.00,730.00,753.44,20260729.00
20260730T,748.11,745.00,740.00,735.00,20260730.00
20260731T,746.97,747.00,745.00,738.89,20260731.00
20260803T,749.10,758.00,750.00,724.67,20260803.00
20260804T,760.23,775.00,750.00,767.03,20260804.00
20260805T,764.72,775.00,771.00,770.07,20260805.00
20260806T,765.16,775.00,769.00,734.51,20260806.00
20260807T,764.22,773.00,773.00,764.85,20260807.00
20260810T,764.37,773.00,773.00,767.67,20260810.00
20260811T,767.34,775.00,770.00,775.25,20260811.00
20260812T,768.52,775.00,773.00,775.12,20260812.00
20260813T,769.10,780.00,770.00,772.18,20260813.00
20260814T,771.80,775.00,775.00,771.52,20260814.00
