20260716T,760.00,735.00,755.00,745.00,730.00
20260717T,750.00,741.00,735.00,730.00,755.00
20260719T,735.00,730.00,752.00,725.00,760.00
20260720T,745.00,743.00,741.00,730.00,735.00
20260721T,747.00,740.00,755.00,749.00,746.00
20260722T,745.00,747.00,740.00,755.00,746.00
20260723T,735.00,730.00,720.00,738.00,725.00
20260724T,730.00,745.00,735.00,720.00,725.00
20260726T,735.00,720.00,725.00,755.00,710.00
20260727T,738.00,745.00,735.00,725.00,720.00
20260728T,745.00,742.00,730.00,735.00,743.00
20260729T,740.00,735.00,715.00,728.00,710.00
20260730T,730.00,742.00,735.00,744.00,741.00
20260731T,746.00,740.00,749.00,730.00,735.00
20260803T,745.00,757.00,730.00,740.00,756.00
20260804T,755.00,765.00,773.00,780.00,800.00
20260805T,750.00,760.00,765.00,785.00,773.00
20260806T,760.00,765.00,750.00,772.00,767.00
20260807T,770.00,774.00,760.00,785.00,750.00
20260810T,770.00,772.00,760.00,785.00,750.00
20260811T,772.00,760.00,773.00,765.00,750.00
20260812T,772.00,774.00,771.00,760.00,765.00
20260813T,777.00,785.00,765.00,773.00,774.00
20260814T,770.00,765.00,774.00,778.00,773.00
20260817T,772.00,765.00,760.00,774.00,776.00
20260818T,767.00,750.00,768.00,780.00,773.00
20260819T,765.00,775.00,760.00,772.00,750.00
20260820T,750.00,755.00,763.00,766.00,761.00
20260821T,750.00,764.00,768.00,755.00,767.00
20260824T,763.00,770.00,750.00,755.00,766.00
20260825T,767.00,750.00,764.00,755.00,763.00
20260826T,767.00,768.00,755.00,750.00,764.00
20260827T,775.00,772.00,780.00,768.00,755.00
20260828T,768.00,760.00,766.00,771.00,775.00
20260831T,770.00,760.00,766.00,750.00,769.00
20260901T,767.00,750.00,764.00,763.00,755.00
