20260720T,373.45,368.00,370.00,356.23,20260720.00
20260721T,373.03,380.00,370.00,0.00,20260721.00
20260722T,373.60,380.00,370.00,372.99,20260722.00
20260723T,373.65,375.00,370.00,0.00,20260723.00
20260724T,373.37,372.00,370.00,372.34,20260724.00
20260726T,373.87,392.00,370.00,0.00,20260726.00
20260727T,373.05,375.00,370.00,364.90,20260727.00
20260728T,371.43,375.00,370.00,0.00,20260728.00
20260729T,371.33,370.00,370.00,383.40,20260729.00
20260730T,370.48,380.00,370.00,0.00,20260730.00
20260731T,370.55,371.00,370.00,360.17,20260731.00
20260803T,371.39,372.00,370.00,367.64,20260803.00
20260804T,371.75,400.00,370.00,0.00,20260804.00
20260805T,372.50,400.00,370.00,381.16,20260805.00
20260806T,371.76,400.00,370.00,0.00,20260806.00
20260807T,370.69,400.00,370.00,374.02,20260807.00
