20260724T,690.00,684.00,695.00,660.00,670.00
20260726T,695.00,660.00,670.00,685.00,705.00
20260727T,685.00,695.00,660.00,670.00,650.00
20260728T,660.00,676.00,670.00,650.00,685.00
20260729T,670.00,690.00,665.00,645.00,662.00
20260730T,695.00,660.00,670.00,675.00,692.00
20260731T,680.00,687.00,670.00,660.00,695.00
20260803T,705.00,680.00,685.00,701.00,660.00
20260804T,705.00,730.00,690.00,725.00,740.00
20260805T,718.00,717.00,705.00,716.00,730.00
20260806T,710.00,716.00,730.00,705.00,725.00
20260807T,720.00,730.00,725.00,710.00,735.00
20260810T,730.00,710.00,735.00,705.00,715.00
20260811T,710.00,705.00,719.00,715.00,735.00
20260812T,725.00,720.00,735.00,710.00,722.00
20260813T,740.00,732.00,725.00,720.00,750.00
20260814T,740.00,700.00,732.00,720.00,725.00
20260817T,700.00,740.00,720.00,725.00,710.00
20260818T,730.00,718.00,705.00,725.00,715.00
20260819T,720.00,710.00,718.00,730.00,705.00
20260820T,720.00,715.00,730.00,718.00,680.00
20260821T,715.00,705.00,720.00,730.00,712.50
20260824T,720.00,715.00,680.00,730.00,706.00
20260825T,712.00,715.00,720.00,730.00,680.00
20260826T,705.00,713.00,730.00,711.00,712.00
20260827T,710.00,725.00,705.00,719.00,735.00
20260828T,720.00,717.00,718.00,705.00,730.00
20260831T,705.00,718.00,716.00,730.00,725.00
