20260716T,700.00,695.00,690.00,710.00,680.00
20260717T,700.00,690.00,694.00,696.00,680.00
20260719T,690.00,695.00,680.00,705.00,710.00
20260720T,700.00,690.00,696.00,680.00,660.00
20260721T,710.00,690.00,705.00,720.00,695.00
20260722T,705.00,710.00,708.00,706.00,690.00
20260723T,695.00,690.00,694.00,680.00,685.00
20260724T,700.00,680.00,690.00,684.00,695.00
20260726T,690.00,680.00,695.00,660.00,670.00
20260727T,690.00,682.00,685.00,695.00,660.00
20260728T,680.00,690.00,660.00,676.00,670.00
20260729T,680.00,650.00,670.00,690.00,665.00
20260730T,690.00,685.00,695.00,660.00,670.00
