20260716T,705.00,711.00,705.00,705.00,20260716.00
20260717T,719.94,695.00,695.00,671.22,20260717.00
20260719T,718.14,730.00,700.00,0.00,20260719.00
20260720T,713.26,695.00,695.00,698.14,20260720.00
20260721T,714.39,709.00,700.00,693.10,20260721.00
20260722T,716.98,707.00,700.00,731.91,20260722.00
20260723T,714.49,700.00,700.00,720.93,20260723.00
20260724T,715.34,685.00,685.00,716.52,20260724.00
20260726T,712.14,700.00,700.00,0.00,20260726.00
20260727T,708.64,700.00,680.00,687.82,20260727.00
20260728T,704.92,700.00,675.00,686.79,20260728.00
20260729T,692.40,700.00,660.00,692.30,20260729.00
20260730T,691.07,685.00,680.00,665.56,20260730.00
20260731T,687.88,688.00,690.00,673.20,20260731.00
20260803T,692.96,700.00,700.00,690.40,20260803.00
