20260724T,738.00,750.00,730.00,745.00,735.00
20260726T,730.00,745.00,735.00,720.00,725.00
20260727T,750.00,730.00,738.00,745.00,735.00
20260728T,741.00,750.00,745.00,742.00,730.00
20260729T,725.00,720.00,740.00,735.00,715.00
20260730T,743.00,750.00,730.00,742.00,735.00
20260731T,750.00,748.00,746.00,740.00,749.00
20260803T,760.00,755.00,745.00,757.00,730.00
20260804T,760.00,770.00,755.00,765.00,773.00
20260805T,770.00,772.00,750.00,760.00,765.00
20260806T,770.00,768.00,760.00,765.00,750.00
20260807T,775.00,772.00,770.00,774.00,760.00
20260810T,780.00,775.00,770.00,772.00,760.00
20260811T,771.00,780.00,772.00,760.00,773.00
20260812T,780.00,770.00,772.00,774.00,771.00
20260813T,775.00,778.00,777.00,785.00,765.00
20260814T,780.00,777.00,770.00,765.00,774.00
20260817T,775.00,770.00,772.00,765.00,760.00
20260818T,770.00,760.00,767.00,750.00,768.00
20260819T,770.00,768.00,765.00,775.00,760.00
20260820T,760.00,762.00,750.00,755.00,763.00
20260821T,760.00,770.00,750.00,764.00,768.00
20260824T,764.00,760.00,763.00,770.00,750.00
20260825T,760.00,770.00,767.00,750.00,764.00
20260826T,760.00,766.00,767.00,768.00,755.00
20260827T,765.00,755.00,750.00,775.00,766.00
